ts,service,region,error_rate,errors_per_min
2026-01-22 17:49:00+00:00,orders-api,us-east,0.03072,139
2026-01-22 17:50:00+00:00,orders-api,us-east,0.01453,64
2026-01-22 17:51:00+00:00,orders-api,us-east,0.01479,67
2026-01-22 17:52:00+00:00,orders-api,us-east,0.00244,13
2026-01-22 17:53:00+00:00,orders-api,us-east,0.00878,36
2026-01-22 17:54:00+00:00,orders-api,us-east,0.00823,38
2026-01-22 17:55:00+00:00,orders-api,us-east,0.00284,13
2026-01-22 17:56:00+00:00,orders-api,us-east,0.01448,62
2026-01-22 17:57:00+00:00,orders-api,us-east,0.00603,25
2026-01-22 17:58:00+00:00,orders-api,us-east,0.00856,41
2026-01-22 17:59:00+00:00,orders-api,us-east,0.00671,29
2026-01-22 18:00:00+00:00,orders-api,us-east,0.01719,68
2026-01-22 18:01:00+00:00,orders-api,us-east,0.01619,69
2026-01-22 18:02:00+00:00,orders-api,us-east,0.01331,41
2026-01-22 18:03:00+00:00,orders-api,us-east,0.00601,21
2026-01-22 18:04:00+00:00,orders-api,us-east,0.00515,21
2026-01-22 18:05:00+00:00,orders-api,us-east,0.00882,35
2026-01-22 18:06:00+00:00,orders-api,us-east,0.01107,53
2026-01-22 18:07:00+00:00,orders-api,us-east,0.008,31
2026-01-22 18:08:00+00:00,orders-api,us-east,0.00591,20
2026-01-22 18:09:00+00:00,orders-api,us-east,0.01833,98
2026-01-22 18:10:00+00:00,orders-api,us-east,0.02018,94
2026-01-22 18:11:00+00:00,orders-api,us-east,0.00888,40
2026-01-22 18:12:00+00:00,orders-api,us-east,0.01001,37
2026-01-22 18:13:00+00:00,orders-api,us-east,0.01821,67
2026-01-22 18:14:00+00:00,orders-api,us-east,0.00837,39
2026-01-22 18:15:00+00:00,orders-api,us-east,0.01868,71
2026-01-22 18:16:00+00:00,orders-api,us-east,0.01607,74
2026-01-22 18:17:00+00:00,orders-api,us-east,0.00506,20
2026-01-22 18:18:00+00:00,orders-api,us-east,0.00608,24
2026-01-22 18:19:00+00:00,orders-api,us-east,0.00808,31
