ts,service,region,error_rate,errors_per_min
2026-01-27T16:06:00Z,orders-api,us-east,0.03072,139
2026-01-27T16:07:00Z,orders-api,us-east,0.01453,64
2026-01-27T16:08:00Z,orders-api,us-east,0.01479,67
2026-01-27T16:09:00Z,orders-api,us-east,0.00244,13
2026-01-27T16:10:00Z,orders-api,us-east,0.00878,36
2026-01-27T16:11:00Z,orders-api,us-east,0.00823,38
2026-01-27T16:12:00Z,orders-api,us-east,0.00284,13
2026-01-27T16:13:00Z,orders-api,us-east,0.01448,62
2026-01-27T16:14:00Z,orders-api,us-east,0.00603,25
2026-01-27T16:15:00Z,orders-api,us-east,0.00856,41
2026-01-27T16:16:00Z,orders-api,us-east,0.00671,29
2026-01-27T16:17:00Z,orders-api,us-east,0.01719,68
2026-01-27T16:18:00Z,orders-api,us-east,0.01619,69
2026-01-27T16:19:00Z,orders-api,us-east,0.01331,41
2026-01-27T16:20:00Z,orders-api,us-east,0.00601,21
2026-01-27T16:21:00Z,orders-api,us-east,0.00515,21
2026-01-27T16:22:00Z,orders-api,us-east,0.00882,35
2026-01-27T16:23:00Z,orders-api,us-east,0.01107,53
2026-01-27T16:24:00Z,orders-api,us-east,0.008,31
2026-01-27T16:25:00Z,orders-api,us-east,0.00591,20
2026-01-27T16:26:00Z,orders-api,us-east,0.01833,98
2026-01-27T16:27:00Z,orders-api,us-east,0.02018,94
2026-01-27T16:28:00Z,orders-api,us-east,0.00888,40
2026-01-27T16:29:00Z,orders-api,us-east,0.01001,37
2026-01-27T16:30:00Z,orders-api,us-east,0.01821,67
2026-01-27T16:31:00Z,orders-api,us-east,0.00837,39
2026-01-27T16:32:00Z,orders-api,us-east,0.01868,71
2026-01-27T16:33:00Z,orders-api,us-east,0.01607,74
2026-01-27T16:34:00Z,orders-api,us-east,0.00506,20
2026-01-27T16:35:00Z,orders-api,us-east,0.00608,24
2026-01-27T16:36:00Z,orders-api,us-east,0.00808,31
2026-01-27T16:37:00Z,orders-api,us-east,0.01143,53
2026-01-27T16:38:00Z,orders-api,us-east,0.01212,50
2026-01-27T16:39:00Z,orders-api,us-east,0.00962,38
2026-01-27T16:40:00Z,orders-api,us-east,0.01076,51
2026-01-27T16:41:00Z,orders-api,us-east,0.01539,62
2026-01-27T16:42:00Z,orders-api,us-east,0.02069,94
2026-01-27T16:43:00Z,orders-api,us-east,0.02196,72
2026-01-27T16:44:00Z,orders-api,us-east,0.02004,61
2026-01-27T16:45:00Z,orders-api,us-east,0.00765,37
2026-01-27T16:46:00Z,orders-api,us-east,0.0061,34
2026-01-27T16:47:00Z,orders-api,us-east,0.02024,81
2026-01-27T16:48:00Z,orders-api,us-east,0.00697,32
2026-01-27T16:49:00Z,orders-api,us-east,0.01273,48
2026-01-27T16:50:00Z,orders-api,us-east,0.0071,26
2026-01-27T16:51:00Z,orders-api,us-east,0.01002,36
2026-01-27T16:52:00Z,orders-api,us-east,0.00608,26
2026-01-27T16:53:00Z,orders-api,us-east,0.00893,43
2026-01-27T16:54:00Z,orders-api,us-east,0.00974,47
2026-01-27T16:55:00Z,orders-api,us-east,0.00955,36
2026-01-27T16:56:00Z,orders-api,us-east,0.00959,43
2026-01-27T16:57:00Z,orders-api,us-east,0.01423,57
2026-01-27T16:58:00Z,orders-api,us-east,0.00837,33
2026-01-27T16:59:00Z,orders-api,us-east,0.01433,67
2026-01-27T17:00:00Z,orders-api,us-east,0.01904,96
2026-01-27T17:01:00Z,orders-api,us-east,0.01192,60
2026-01-27T17:02:00Z,orders-api,us-east,0.01069,42
2026-01-27T17:03:00Z,orders-api,us-east,0.00663,30
2026-01-27T17:04:00Z,orders-api,us-east,0.01056,52
2026-01-27T17:05:00Z,orders-api,us-east,0.02195,115
2026-01-27T17:06:00Z,orders-api,us-east,0.00505,23
2026-01-27T17:07:00Z,orders-api,us-east,0.00552,25
2026-01-27T17:08:00Z,orders-api,us-east,0.0129,48
2026-01-27T17:09:00Z,orders-api,us-east,0.0076,27
2026-01-27T17:10:00Z,orders-api,us-east,0.01538,68
2026-01-27T17:11:00Z,orders-api,us-east,0.00351,18
2026-01-27T17:12:00Z,orders-api,us-east,0.01453,61
2026-01-27T17:13:00Z,orders-api,us-east,0.00432,20
2026-01-27T17:14:00Z,orders-api,us-east,0.01996,92
2026-01-27T17:15:00Z,orders-api,us-east,0.00725,30
2026-01-27T17:16:00Z,orders-api,us-east,0.01016,48
2026-01-27T17:17:00Z,orders-api,us-east,0.00506,25
2026-01-27T17:18:00Z,orders-api,us-east,0.0029,14
2026-01-27T17:19:00Z,orders-api,us-east,0.00644,34
2026-01-27T17:20:00Z,orders-api,us-east,0.00891,29
2026-01-27T17:21:00Z,orders-api,us-east,0.00377,18
2026-01-27T17:22:00Z,orders-api,us-east,0.03998,178
2026-01-27T17:23:00Z,orders-api,us-east,0.01093,47
2026-01-27T17:24:00Z,orders-api,us-east,0.0048,21
2026-01-27T17:25:00Z,orders-api,us-east,0.01487,47
2026-01-27T17:26:00Z,orders-api,us-east,0.00887,40
2026-01-27T17:27:00Z,orders-api,us-east,0.01464,74
2026-01-27T17:28:00Z,orders-api,us-east,0.00828,42
2026-01-27T17:29:00Z,orders-api,us-east,0.01824,79
2026-01-27T17:30:00Z,orders-api,us-east,0.00857,33
2026-01-27T17:31:00Z,orders-api,us-east,0.01361,60
2026-01-27T17:32:00Z,orders-api,us-east,0.0084,39
2026-01-27T17:33:00Z,orders-api,us-east,0.02388,118
2026-01-27T17:34:00Z,orders-api,us-east,0.01002,45
2026-01-27T17:35:00Z,orders-api,us-east,0.01752,76
2026-01-27T17:36:00Z,orders-api,us-east,0.01233,56
2026-01-27T17:37:00Z,orders-api,us-east,0.0069,36
2026-01-27T17:38:00Z,orders-api,us-east,0.01105,50
2026-01-27T17:39:00Z,orders-api,us-east,0.01384,62
2026-01-27T17:40:00Z,orders-api,us-east,0.01396,68
2026-01-27T17:41:00Z,orders-api,us-east,0.00764,29
2026-01-27T17:42:00Z,orders-api,us-east,0.01834,87
2026-01-27T17:43:00Z,orders-api,us-east,0.01047,45
2026-01-27T17:44:00Z,orders-api,us-east,0.00678,35
2026-01-27T17:45:00Z,orders-api,us-east,0.00692,28
2026-01-27T17:46:00Z,orders-api,us-east,0.01183,43
2026-01-27T17:47:00Z,orders-api,us-east,0.0085,41
2026-01-27T17:48:00Z,orders-api,us-east,0.02096,88
2026-01-27T17:49:00Z,orders-api,us-east,0.04353,174
2026-01-27T17:50:00Z,orders-api,us-east,0.0055,25
2026-01-27T17:51:00Z,orders-api,us-east,0.0068,33
2026-01-27T17:52:00Z,orders-api,us-east,0.01933,106
2026-01-27T17:53:00Z,orders-api,us-east,0.0112,53
2026-01-27T17:54:00Z,orders-api,us-east,0.00583,31
2026-01-27T17:55:00Z,orders-api,us-east,0.0186,88
2026-01-27T17:56:00Z,orders-api,us-east,0.00949,37
2026-01-27T17:57:00Z,orders-api,us-east,0.01502,73
2026-01-27T17:58:00Z,orders-api,us-east,0.01916,93
2026-01-27T17:59:00Z,orders-api,us-east,0.01154,64
2026-01-27T18:00:00Z,orders-api,us-east,0.00688,32
2026-01-27T18:01:00Z,orders-api,us-east,0.00817,42
