ts,service,region,p50_ms,p95_ms,p99_ms
2026-01-22 17:49:00+00:00,orders-api,us-east,89.4,187.26,305.61
2026-01-22 17:50:00+00:00,orders-api,us-east,104.37,197.09,400.23
2026-01-22 17:51:00+00:00,orders-api,us-east,95.54,207.24,402.1
2026-01-22 17:52:00+00:00,orders-api,us-east,99.92,201.0,338.32
2026-01-22 17:53:00+00:00,orders-api,us-east,99.92,198.97,402.06
2026-01-22 17:54:00+00:00,orders-api,us-east,92.82,198.41,395.34
2026-01-22 17:55:00+00:00,orders-api,us-east,102.53,227.94,341.22
2026-01-22 17:56:00+00:00,orders-api,us-east,104.71,207.53,365.36
2026-01-22 17:57:00+00:00,orders-api,us-east,101.7,210.8,425.59
2026-01-22 17:58:00+00:00,orders-api,us-east,99.87,208.34,341.37
2026-01-22 17:59:00+00:00,orders-api,us-east,109.25,219.09,459.29
2026-01-22 18:00:00+00:00,orders-api,us-east,100.63,206.38,401.18
2026-01-22 18:01:00+00:00,orders-api,us-east,98.91,224.42,398.15
2026-01-22 18:02:00+00:00,orders-api,us-east,100.55,212.73,350.79
2026-01-22 18:03:00+00:00,orders-api,us-east,92.99,197.7,355.05
2026-01-22 18:04:00+00:00,orders-api,us-east,96.28,190.65,366.41
2026-01-22 18:05:00+00:00,orders-api,us-east,95.74,196.11,343.98
2026-01-22 18:06:00+00:00,orders-api,us-east,93.36,187.29,367.74
2026-01-22 18:07:00+00:00,orders-api,us-east,93.14,198.05,367.38
2026-01-22 18:08:00+00:00,orders-api,us-east,91.12,225.37,416.52
2026-01-22 18:09:00+00:00,orders-api,us-east,105.6,229.94,366.4
2026-01-22 18:10:00+00:00,orders-api,us-east,98.76,185.6,343.7
2026-01-22 18:11:00+00:00,orders-api,us-east,102.39,203.25,335.11
2026-01-22 18:12:00+00:00,orders-api,us-east,99.19,184.15,366.64
2026-01-22 18:13:00+00:00,orders-api,us-east,93.92,215.45,351.5
2026-01-22 18:14:00+00:00,orders-api,us-east,97.28,189.32,337.53
2026-01-22 18:15:00+00:00,orders-api,us-east,96.69,205.11,414.98
2026-01-22 18:16:00+00:00,orders-api,us-east,112.75,216.89,462.13
2026-01-22 18:17:00+00:00,orders-api,us-east,92.86,195.27,365.14
2026-01-22 18:18:00+00:00,orders-api,us-east,100.91,207.86,369.16
2026-01-22 18:19:00+00:00,orders-api,us-east,89.98,187.93,361.57
2026-01-22 18:20:00+00:00,orders-api,us-east,106.77,208.38,442.38
2026-01-22 18:21:00+00:00,orders-api,us-east,104.48,207.92,407.7
2026-01-22 18:22:00+00:00,orders-api,us-east,93.54,215.78,382.89
2026-01-22 18:23:00+00:00,orders-api,us-east,97.95,187.67,349.5
2026-01-22 18:24:00+00:00,orders-api,us-east,100.82,213.89,396.21
2026-01-22 18:25:00+00:00,orders-api,us-east,101.23,231.29,378.03
2026-01-22 18:26:00+00:00,orders-api,us-east,95.0,184.37,294.7
2026-01-22 18:27:00+00:00,orders-api,us-east,94.91,194.18,341.34
2026-01-22 18:28:00+00:00,orders-api,us-east,94.02,176.08,312.75
2026-01-22 18:29:00+00:00,orders-api,us-east,100.23,224.59,355.0
2026-01-22 18:30:00+00:00,orders-api,us-east,107.0,216.67,389.77
2026-01-22 18:31:00+00:00,orders-api,us-east,106.89,239.34,389.56
2026-01-22 18:32:00+00:00,orders-api,us-east,93.46,200.47,360.99
2026-01-22 18:33:00+00:00,orders-api,us-east,100.27,232.21,366.79
2026-01-22 18:34:00+00:00,orders-api,us-east,100.62,223.69,380.35
2026-01-22 18:35:00+00:00,orders-api,us-east,104.54,230.45,414.64
2026-01-22 18:36:00+00:00,orders-api,us-east,104.91,226.06,370.07
2026-01-22 18:37:00+00:00,orders-api,us-east,116.72,237.1,477.69
2026-01-22 18:38:00+00:00,orders-api,us-east,113.18,246.12,391.47
2026-01-22 18:39:00+00:00,orders-api,us-east,100.4,222.54,374.41
2026-01-22 18:40:00+00:00,orders-api,us-east,106.22,229.8,393.59
2026-01-22 18:41:00+00:00,orders-api,us-east,93.52,200.13,324.29
2026-01-22 18:42:00+00:00,orders-api,us-east,104.26,232.73,395.49
2026-01-22 18:43:00+00:00,orders-api,us-east,97.06,197.37,324.02
2026-01-22 18:44:00+00:00,orders-api,us-east,99.39,247.11,372.91
2026-01-22 18:45:00+00:00,orders-api,us-east,102.0,215.87,401.5
2026-01-22 18:46:00+00:00,orders-api,us-east,114.49,236.58,404.02
2026-01-22 18:47:00+00:00,orders-api,us-east,90.46,195.98,351.57
2026-01-22 18:48:00+00:00,orders-api,us-east,103.98,227.79,372.95
2026-01-22 18:49:00+00:00,orders-api,us-east,95.92,183.99,354.13
2026-01-22 18:50:00+00:00,orders-api,us-east,94.23,181.43,400.7
2026-01-22 18:51:00+00:00,orders-api,us-east,97.46,194.03,370.02
2026-01-22 18:52:00+00:00,orders-api,us-east,110.11,237.1,425.22
2026-01-22 18:53:00+00:00,orders-api,us-east,89.43,199.53,342.02
2026-01-22 18:54:00+00:00,orders-api,us-east,99.62,204.62,359.72
2026-01-22 18:55:00+00:00,orders-api,us-east,103.68,210.23,400.26
2026-01-22 18:56:00+00:00,orders-api,us-east,91.63,189.47,354.87
2026-01-22 18:57:00+00:00,orders-api,us-east,102.21,206.97,414.59
2026-01-22 18:58:00+00:00,orders-api,us-east,91.92,198.7,343.54
2026-01-22 18:59:00+00:00,orders-api,us-east,107.16,236.34,462.85
2026-01-22 19:00:00+00:00,orders-api,us-east,92.54,216.13,374.08
2026-01-22 19:01:00+00:00,orders-api,us-east,101.78,207.81,390.34
2026-01-22 19:02:00+00:00,orders-api,us-east,100.38,194.3,382.3
2026-01-22 19:03:00+00:00,orders-api,us-east,100.28,212.07,368.14
2026-01-22 19:04:00+00:00,orders-api,us-east,96.39,195.8,380.84
2026-01-22 19:05:00+00:00,orders-api,us-east,101.65,218.56,391.72
2026-01-22 19:06:00+00:00,orders-api,us-east,98.32,242.01,400.61
2026-01-22 19:07:00+00:00,orders-api,us-east,91.47,195.53,370.72
2026-01-22 19:08:00+00:00,orders-api,us-east,101.86,210.3,379.18
2026-01-22 19:09:00+00:00,orders-api,us-east,99.98,221.66,430.02
2026-01-22 19:10:00+00:00,orders-api,us-east,103.53,220.54,389.74
2026-01-22 19:11:00+00:00,orders-api,us-east,103.53,214.82,379.85
