ts,service,rps,requests_per_min,errors_per_min,error_rate,availability,burn_rate_1h
2026-01-22 17:49:00+00:00,orders-api,226.35,13581.0,405,0.02982107355864811,0.9701789264413518,0.0
2026-01-22 17:50:00+00:00,orders-api,210.9,12654.0,186,0.01469890943575154,0.9853010905642484,0.0
2026-01-22 17:51:00+00:00,orders-api,226.01999999999998,13561.199999999999,198,0.014600477833820017,0.98539952216618,0.0
2026-01-22 17:52:00+00:00,orders-api,257.83,15469.8,39,0.00252104099600512,0.9974789590039949,0.0
2026-01-22 17:53:00+00:00,orders-api,207.75,12465.0,110,0.008824709185720016,0.99117529081428,0.0
2026-01-22 17:54:00+00:00,orders-api,212.15,12729.0,107,0.008406002042579935,0.9915939979574201,0.0
2026-01-22 17:55:00+00:00,orders-api,247.42,14845.199999999999,41,0.002761835475439873,0.9972381645245602,0.0
2026-01-22 17:56:00+00:00,orders-api,237.44,14246.4,201,0.014108827493261455,0.9858911725067385,0.0
2026-01-22 17:57:00+00:00,orders-api,208.27999999999997,12496.8,78,0.006241597849049357,0.9937584021509507,0.0
2026-01-22 17:58:00+00:00,orders-api,223.89,13433.4,120,0.008932958149091072,0.9910670418509089,0.0
2026-01-22 17:59:00+00:00,orders-api,205.68,12340.800000000001,88,0.007130818099312848,0.9928691819006872,0.0
2026-01-22 18:00:00+00:00,orders-api,206.94,12416.4,218,0.017557424052060178,0.9824425759479398,0.0
2026-01-22 18:01:00+00:00,orders-api,219.02999999999997,13141.8,210,0.015979546180888465,0.9840204538191115,0.0
2026-01-22 18:02:00+00:00,orders-api,167.48,10048.8,129,0.012837353713876285,0.9871626462861237,0.0
2026-01-22 18:03:00+00:00,orders-api,178.59,10715.4,65,0.006066035798943577,0.9939339642010564,0.0
2026-01-22 18:04:00+00:00,orders-api,205.06,12303.6,64,0.0052017295750837154,0.9947982704249163,0.0
2026-01-22 18:05:00+00:00,orders-api,194.04,11642.4,102,0.008761080189651618,0.9912389198103484,0.0
2026-01-22 18:06:00+00:00,orders-api,226.82999999999998,13609.8,154,0.011315375685168041,0.988684624314832,0.0
2026-01-22 18:07:00+00:00,orders-api,192.04000000000002,11522.400000000001,94,0.008158022634173435,0.9918419773658266,0.0
2026-01-22 18:08:00+00:00,orders-api,184.76,11085.599999999999,64,0.00577325539438551,0.9942267446056144,0.0
2026-01-22 18:09:00+00:00,orders-api,250.05,15003.0,275,0.018329667399853363,0.9816703326001467,0.0
2026-01-22 18:10:00+00:00,orders-api,212.10000000000002,12726.000000000002,268,0.021059248782021055,0.978940751217979,0.0
2026-01-22 18:11:00+00:00,orders-api,218.23000000000002,13093.800000000001,114,0.008706410667644228,0.9912935893323558,0.0
