ts,service,region,rps
2026-01-27T16:06:00Z,orders-api,us-east,75.05
2026-01-27T16:07:00Z,orders-api,us-east,69.0
2026-01-27T16:08:00Z,orders-api,us-east,74.07
2026-01-27T16:09:00Z,orders-api,us-east,86.6
2026-01-27T16:10:00Z,orders-api,us-east,68.61
2026-01-27T16:11:00Z,orders-api,us-east,70.51
2026-01-27T16:12:00Z,orders-api,us-east,83.24
2026-01-27T16:13:00Z,orders-api,us-east,80.88
2026-01-27T16:14:00Z,orders-api,us-east,70.21
2026-01-27T16:15:00Z,orders-api,us-east,72.99
2026-01-27T16:16:00Z,orders-api,us-east,68.89
2026-01-27T16:17:00Z,orders-api,us-east,68.39
2026-01-27T16:18:00Z,orders-api,us-east,76.08
2026-01-27T16:19:00Z,orders-api,us-east,57.19
2026-01-27T16:20:00Z,orders-api,us-east,60.13
2026-01-27T16:21:00Z,orders-api,us-east,69.18
2026-01-27T16:22:00Z,orders-api,us-east,64.94
2026-01-27T16:23:00Z,orders-api,us-east,76.69
2026-01-27T16:24:00Z,orders-api,us-east,64.04
2026-01-27T16:25:00Z,orders-api,us-east,60.29
2026-01-27T16:26:00Z,orders-api,us-east,87.61
2026-01-27T16:27:00Z,orders-api,us-east,72.67
2026-01-27T16:28:00Z,orders-api,us-east,74.47
2026-01-27T16:29:00Z,orders-api,us-east,61.72
2026-01-27T16:30:00Z,orders-api,us-east,64.37
2026-01-27T16:31:00Z,orders-api,us-east,74.17
2026-01-27T16:32:00Z,orders-api,us-east,62.71
2026-01-27T16:33:00Z,orders-api,us-east,77.85
2026-01-27T16:34:00Z,orders-api,us-east,66.89
2026-01-27T16:35:00Z,orders-api,us-east,64.1
2026-01-27T16:36:00Z,orders-api,us-east,68.68
2026-01-27T16:37:00Z,orders-api,us-east,86.52
2026-01-27T16:38:00Z,orders-api,us-east,71.93
2026-01-27T16:39:00Z,orders-api,us-east,64.06
2026-01-27T16:40:00Z,orders-api,us-east,82.24
2026-01-27T16:41:00Z,orders-api,us-east,66.95
2026-01-27T16:42:00Z,orders-api,us-east,74.37
2026-01-27T16:43:00Z,orders-api,us-east,55.4
2026-01-27T16:44:00Z,orders-api,us-east,57.58
2026-01-27T16:45:00Z,orders-api,us-east,78.41
2026-01-27T16:46:00Z,orders-api,us-east,83.84
2026-01-27T16:47:00Z,orders-api,us-east,71.15
2026-01-27T16:48:00Z,orders-api,us-east,72.42
2026-01-27T16:49:00Z,orders-api,us-east,70.62
2026-01-27T16:50:00Z,orders-api,us-east,57.96
2026-01-27T16:51:00Z,orders-api,us-east,67.82
2026-01-27T16:52:00Z,orders-api,us-east,70.58
2026-01-27T16:53:00Z,orders-api,us-east,80.75
2026-01-27T16:54:00Z,orders-api,us-east,76.17
2026-01-27T16:55:00Z,orders-api,us-east,59.87
2026-01-27T16:56:00Z,orders-api,us-east,75.65
2026-01-27T16:57:00Z,orders-api,us-east,69.47
2026-01-27T16:58:00Z,orders-api,us-east,67.17
2026-01-27T16:59:00Z,orders-api,us-east,79.6
2026-01-27T17:00:00Z,orders-api,us-east,82.85
2026-01-27T17:01:00Z,orders-api,us-east,83.2
2026-01-27T17:02:00Z,orders-api,us-east,67.28
2026-01-27T17:03:00Z,orders-api,us-east,72.71
2026-01-27T17:04:00Z,orders-api,us-east,79.53
2026-01-27T17:05:00Z,orders-api,us-east,78.06
2026-01-27T17:06:00Z,orders-api,us-east,70.55
2026-01-27T17:07:00Z,orders-api,us-east,72.91
2026-01-27T17:08:00Z,orders-api,us-east,63.3
2026-01-27T17:09:00Z,orders-api,us-east,65.67
2026-01-27T17:10:00Z,orders-api,us-east,79.93
2026-01-27T17:11:00Z,orders-api,us-east,84.27
2026-01-27T17:12:00Z,orders-api,us-east,69.58
2026-01-27T17:13:00Z,orders-api,us-east,82.08
2026-01-27T17:14:00Z,orders-api,us-east,77.27
2026-01-27T17:15:00Z,orders-api,us-east,71.14
2026-01-27T17:16:00Z,orders-api,us-east,79.57
2026-01-27T17:17:00Z,orders-api,us-east,86.22
2026-01-27T17:18:00Z,orders-api,us-east,75.43
2026-01-27T17:19:00Z,orders-api,us-east,89.52
2026-01-27T17:20:00Z,orders-api,us-east,52.69
2026-01-27T17:21:00Z,orders-api,us-east,79.28
2026-01-27T17:22:00Z,orders-api,us-east,73.69
2026-01-27T17:23:00Z,orders-api,us-east,72.72
2026-01-27T17:24:00Z,orders-api,us-east,74.34
2026-01-27T17:25:00Z,orders-api,us-east,57.97
2026-01-27T17:26:00Z,orders-api,us-east,70.55
2026-01-27T17:27:00Z,orders-api,us-east,80.88
2026-01-27T17:28:00Z,orders-api,us-east,87.15
2026-01-27T17:29:00Z,orders-api,us-east,69.07
2026-01-27T17:30:00Z,orders-api,us-east,71.5
2026-01-27T17:31:00Z,orders-api,us-east,72.84
2026-01-27T17:32:00Z,orders-api,us-east,78.3
2026-01-27T17:33:00Z,orders-api,us-east,78.0
2026-01-27T17:34:00Z,orders-api,us-east,73.31
2026-01-27T17:35:00Z,orders-api,us-east,76.52
2026-01-27T17:36:00Z,orders-api,us-east,73.75
2026-01-27T17:37:00Z,orders-api,us-east,82.85
