ts,service,region,rps
2026-01-22 17:49:00+00:00,orders-api,us-east,75.05
2026-01-22 17:50:00+00:00,orders-api,us-east,69.0
2026-01-22 17:51:00+00:00,orders-api,us-east,74.07
2026-01-22 17:52:00+00:00,orders-api,us-east,86.6
2026-01-22 17:53:00+00:00,orders-api,us-east,68.61
2026-01-22 17:54:00+00:00,orders-api,us-east,70.51
2026-01-22 17:55:00+00:00,orders-api,us-east,83.24
2026-01-22 17:56:00+00:00,orders-api,us-east,80.88
2026-01-22 17:57:00+00:00,orders-api,us-east,70.21
2026-01-22 17:58:00+00:00,orders-api,us-east,72.99
2026-01-22 17:59:00+00:00,orders-api,us-east,68.89
2026-01-22 18:00:00+00:00,orders-api,us-east,68.39
2026-01-22 18:01:00+00:00,orders-api,us-east,76.08
2026-01-22 18:02:00+00:00,orders-api,us-east,57.19
2026-01-22 18:03:00+00:00,orders-api,us-east,60.13
2026-01-22 18:04:00+00:00,orders-api,us-east,69.18
2026-01-22 18:05:00+00:00,orders-api,us-east,64.94
2026-01-22 18:06:00+00:00,orders-api,us-east,76.69
2026-01-22 18:07:00+00:00,orders-api,us-east,64.04
2026-01-22 18:08:00+00:00,orders-api,us-east,60.29
2026-01-22 18:09:00+00:00,orders-api,us-east,87.61
2026-01-22 18:10:00+00:00,orders-api,us-east,72.67
2026-01-22 18:11:00+00:00,orders-api,us-east,74.47
2026-01-22 18:12:00+00:00,orders-api,us-east,61.72
2026-01-22 18:13:00+00:00,orders-api,us-east,64.37
2026-01-22 18:14:00+00:00,orders-api,us-east,74.17
2026-01-22 18:15:00+00:00,orders-api,us-east,62.71
2026-01-22 18:16:00+00:00,orders-api,us-east,77.85
2026-01-22 18:17:00+00:00,orders-api,us-east,66.89
2026-01-22 18:18:00+00:00,orders-api,us-east,64.1
2026-01-22 18:19:00+00:00,orders-api,us-east,68.68
2026-01-22 18:20:00+00:00,orders-api,us-east,86.52
2026-01-22 18:21:00+00:00,orders-api,us-east,71.93
2026-01-22 18:22:00+00:00,orders-api,us-east,64.06
2026-01-22 18:23:00+00:00,orders-api,us-east,82.24
2026-01-22 18:24:00+00:00,orders-api,us-east,66.95
2026-01-22 18:25:00+00:00,orders-api,us-east,74.37
2026-01-22 18:26:00+00:00,orders-api,us-east,55.4
2026-01-22 18:27:00+00:00,orders-api,us-east,57.58
2026-01-22 18:28:00+00:00,orders-api,us-east,78.41
2026-01-22 18:29:00+00:00,orders-api,us-east,83.84
2026-01-22 18:30:00+00:00,orders-api,us-east,71.15
2026-01-22 18:31:00+00:00,orders-api,us-east,72.42
2026-01-22 18:32:00+00:00,orders-api,us-east,70.62
2026-01-22 18:33:00+00:00,orders-api,us-east,57.96
2026-01-22 18:34:00+00:00,orders-api,us-east,67.82
2026-01-22 18:35:00+00:00,orders-api,us-east,70.58
2026-01-22 18:36:00+00:00,orders-api,us-east,80.75
2026-01-22 18:37:00+00:00,orders-api,us-east,76.17
2026-01-22 18:38:00+00:00,orders-api,us-east,59.87
2026-01-22 18:39:00+00:00,orders-api,us-east,75.65
2026-01-22 18:40:00+00:00,orders-api,us-east,69.47
2026-01-22 18:41:00+00:00,orders-api,us-east,67.17
2026-01-22 18:42:00+00:00,orders-api,us-east,79.6
2026-01-22 18:43:00+00:00,orders-api,us-east,82.85
2026-01-22 18:44:00+00:00,orders-api,us-east,83.2
2026-01-22 18:45:00+00:00,orders-api,us-east,67.28
2026-01-22 18:46:00+00:00,orders-api,us-east,72.71
2026-01-22 18:47:00+00:00,orders-api,us-east,79.53
2026-01-22 18:48:00+00:00,orders-api,us-east,78.06
2026-01-22 18:49:00+00:00,orders-api,us-east,70.55
2026-01-22 18:50:00+00:00,orders-api,us-east,72.91
2026-01-22 18:51:00+00:00,orders-api,us-east,63.3
2026-01-22 18:52:00+00:00,orders-api,us-east,65.67
2026-01-22 18:53:00+00:00,orders-api,us-east,79.93
2026-01-22 18:54:00+00:00,orders-api,us-east,84.27
2026-01-22 18:55:00+00:00,orders-api,us-east,69.58
